Kabupaten/Kota Se Jawa Timur,
,Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota (Persen)
,2022
Kabupaten Pacitan,82.99
Kabupaten Ponorogo,72.92
Kabupaten Trenggalek,72.01
Kabupaten Tulungagung,71.95
Kabupaten Blitar,72.79
Kabupaten Kediri,68.73
Kabupaten Malang,70.38
Kabupaten Lumajang,69.75
Kabupaten Jember,69.44
Kabupaten Banyuwangi,72
Kabupaten Bondowoso,74.61
Kabupaten Situbondo,72.15
Kabupaten Probolinggo,71.56
Kabupaten Pasuruan,70.19
Kabupaten Sidoarjo,72.87
Kabupaten Mojokerto,71.34
Kabupaten Jombang,66.65
Kabupaten Nganjuk,66.79
Kabupaten Madiun,72.72
Kabupaten Magetan,74.03
Kabupaten Ngawi,78.6
Kabupaten Bojonegoro,72.16
Kabupaten Tuban,73.63
Kabupaten Lamongan,69.3
Kabupaten Gresik,68.3
Kabupaten Bangkalan,73.86
Kabupaten Sampang,73.37
Kabupaten Pamekasan,73.59
Kabupaten Sumenep,75.12
Kota Kediri,69.93
Kota Blitar,67.78
Kota Malang,63.08
Kota Probolinggo,68.39
Kota Pasuruan,68.05
Kota Mojokerto,69.41
Kota Madiun,66.85
Kota Surabaya,69.99
Kota Batu,71.51
Jawa Timur,71.23
