Kabupaten/Kota Se Jawa Timur,
,Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota (Persen)
,2020
Kabupaten Pacitan,80.36
Kabupaten Ponorogo,71.51
Kabupaten Trenggalek,75.72
Kabupaten Tulungagung,73.17
Kabupaten Blitar,70.83
Kabupaten Kediri,70.65
Kabupaten Malang,71.62
Kabupaten Lumajang,66.92
Kabupaten Jember,68.04
Kabupaten Banyuwangi,71.8
Kabupaten Bondowoso,75.09
Kabupaten Situbondo,73.17
Kabupaten Probolinggo,72.89
Kabupaten Pasuruan,67.67
Kabupaten Sidoarjo,67.17
Kabupaten Mojokerto,69.79
Kabupaten Jombang,70.23
Kabupaten Nganjuk,65.75
Kabupaten Madiun,71.42
Kabupaten Magetan,73.23
Kabupaten Ngawi,72.69
Kabupaten Bojonegoro,74.6
Kabupaten Tuban,71.84
Kabupaten Lamongan,70.81
Kabupaten Gresik,66.53
Kabupaten Bangkalan,67
Kabupaten Sampang,69.93
Kabupaten Pamekasan,69.82
Kabupaten Sumenep,75.02
Kota Kediri,66
Kota Blitar,69.53
Kota Malang,66.41
Kota Probolinggo,69.07
Kota Pasuruan,70.05
Kota Mojokerto,68.21
Kota Madiun,68.63
Kota Surabaya,68.05
Kota Batu,72.33
Jawa Timur,70.33
