Kabupaten/Kota Se Jawa Timur,
,Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota (Persen)
,2020
Kabupaten Pacitan,2.28
Kabupaten Ponorogo,4.45
Kabupaten Trenggalek,4.11
Kabupaten Tulungagung,4.61
Kabupaten Blitar,3.82
Kabupaten Kediri,5.24
Kabupaten Malang,5.49
Kabupaten Lumajang,3.36
Kabupaten Jember,5.12
Kabupaten Banyuwangi,5.34
Kabupaten Bondowoso,4.13
Kabupaten Situbondo,3.85
Kabupaten Probolinggo,4.86
Kabupaten Pasuruan,6.24
Kabupaten Sidoarjo,10.97
Kabupaten Mojokerto,5.75
Kabupaten Jombang,7.48
Kabupaten Nganjuk,4.8
Kabupaten Madiun,4.8
Kabupaten Magetan,3.74
Kabupaten Ngawi,5.44
Kabupaten Bojonegoro,4.92
Kabupaten Tuban,4.81
Kabupaten Lamongan,5.13
Kabupaten Gresik,8.21
Kabupaten Bangkalan,8.77
Kabupaten Sampang,3.35
Kabupaten Pamekasan,3.49
Kabupaten Sumenep,2.84
Kota Kediri,6.21
Kota Blitar,6.68
Kota Malang,9.61
Kota Probolinggo,6.7
Kota Pasuruan,6.33
Kota Mojokerto,6.74
Kota Madiun,8.32
Kota Surabaya,9.79
Kota Batu,5.93
Jawa Timur,5.84
