Kabupaten/Kota,Indeks Pembangunan Manusia
Pacitan,69.45
Ponorogo,71.81
Trenggalek,70.4
Tulungagung,73.29
Blitar,71.48
Kediri,73.31
Malang,71.48
Lumajang,67.65
Jember,69.2
Banyuwangi,72.62
Bondowoso,69.24
Situbondo,69.34
Probolinggo,68.94
Pasuruan,70.54
Sidoarjo,81.01
Mojokerto,74.9
Jombang,74.1
Nganjuk,73.03
Madiun,73.07
Magetan,75.08
Ngawi,71.97
Bojonegoro,70.7
Tuban,70.1
Lamongan,73.97
Gresik,76.98
Bangkalan,65.42
Sampang,64.86
Pamekasan,68.78
Sumenep,67.74
Kota Kediri,79.15
Kota Blitar,79.27
Kota Malang,82.77
Kota Probolinggo,75.2
Kota Pasuruan,76.83
Kota Mojokerto,79.34
Kota Madiun,82.27
Kota Surabaya,82.94
Kota Batu,77.21
Jawa Timur,73.48
,
Catatan,
Indeks Pembangunan Manusia (IPM) 2020-2023 dihitung menggunakan Umur Harapan Hidup saat Lahir (UHH) hasil Long Form SP2020 (LF SP2020). IPM 2023 yang menggunakan UHH hasil SP2010 masih tersedia dan dapat diakses pada website BPS (www.bps.go.id)/<i>The 2020–2023 Human Development Index (HDI) was calculated using the Life Expectancy at Birth based on the Long Form 2020 Population Census. The 2023 HDI data using life expectancy based on the 2010 Population Census are still available at the BPS website (www.bps.go.id)</i>,
