Kabupaten/Kota,Indeks Pembangunan Manusia
Pacitan,69.28
Ponorogo,71.57
Trenggalek,70.1
Tulungagung,73.15
Blitar,71.02
Kediri,72.8
Malang,71.24
Lumajang,67.04
Jember,69.01
Banyuwangi,71.85
Bondowoso,69.1
Situbondo,68.94
Probolinggo,68.77
Pasuruan,70.2
Sidoarjo,80.65
Mojokerto,74.58
Jombang,73.63
Nganjuk,72.78
Madiun,72.94
Magetan,74.85
Ngawi,71.49
Bojonegoro,70.18
Tuban,69.6
Lamongan,73.44
Gresik,76.59
Bangkalan,65.17
Sampang,64.75
Pamekasan,68.65
Sumenep,67.15
Kota Kediri,78.78
Kota Blitar,78.88
Kota Malang,82.19
Kota Probolinggo,74.81
Kota Pasuruan,76.47
Kota Mojokerto,78.95
Kota Madiun,81.93
Kota Surabaya,82.76
Kota Batu,76.82
Jawa Timur,73.04
,
Catatan,
Indeks Pembangunan Manusia (IPM) 2020-2023 dihitung menggunakan Umur Harapan Hidup saat Lahir (UHH) hasil Long Form SP2020 (LF SP2020). IPM 2023 yang menggunakan UHH hasil SP2010 masih tersedia dan dapat diakses pada website BPS (www.bps.go.id)/<i>The 2020–2023 Human Development Index (HDI) was calculated using the Life Expectancy at Birth based on the Long Form 2020 Population Census. The 2023 HDI data using life expectancy based on the 2010 Population Census are still available at the BPS website (www.bps.go.id)</i>,
